"Fatal","Day","Lat","Lon","NonUSA","Nonairplane","Phase","Event","Personal","Multiple"
0,127,34.1142,-117.2158,0,0,"ENR","FUEL",0,0
1,127,59.4503,-135.2056,0,1,"ENR","Other",1,0
0,127,37.6331,-84.3328,0,0,"TOF","LOC-G",0,0
0,127,39.0778,-84.2108,0,0,"LDG","LOC-I",0,0
0,127,30.8867,-94.0353,0,0,"LDG","ARC",0,0
0,127,39.1461,-86.6167,0,0,"LDG","ARC",0,0
0,127,39.2936,-122.2514,0,1,"TOF","SCF-PP",1,0
1,128,33.6403,-112.3631,0,0,"ENR","FUEL",1,0
0,128,36.5625,-80.1361,0,0,"APR","LOC-I",0,0
0,128,34.1297,-116.4069,0,0,"TOF","LOC-I",0,0
0,128,30.725,-87.2019,0,0,"TOF","LOC-I",0,0
0,129,37.0608,-117.8031,0,0,"ENR","FUEL",0,0
0,129,39.8339,-100.5403,0,0,"LDG","LOC-G",1,0
0,130,34.1675,-101.7186,0,0,"TOF","LOC-I",0,0
0,131,37.8589,-120.1667,0,0,"TOF","Other",0,0
0,131,40.915,-81.4436,0,0,"TOF","LOC-G",0,0
0,131,36.7756,-89.9411,0,0,"LDG","Other",1,0
0,132,35.0217,-110.7319,0,0,"ICL","SCF-PP",0,0
0,132,42.8983,-72.2708,0,0,"LDG","Other",0,0
0,132,30.0908,-92.4169,0,0,"MNV","FUEL",1,0
0,132,41.9183,-72.7764,0,0,"LDG","LOC-I",0,0
0,133,38.2033,-121.2553,0,0,"ENR","SCF-PP",1,0
0,133,38.9597,-94.3714,0,0,"LDG","ARC",0,0
0,133,33.9711,-112.7944,0,0,"TXI","Other",0,0
0,134,35.0589,-118.1506,0,0,"APR","SCF-PP",1,0
0,134,35.1511,-118.0167,0,0,"LDG","LOC-G",0,0
0,134,36.2106,-115.1936,0,0,"LDG","LOC-G",0,0
1,134,36.0756,-91.0611,0,1,"TOF","LOC-G",1,0
0,134,35.6667,-97.615,0,1,"LDG","ARC",1,0
0,134,36.3733,-86.4083,0,0,"ICL","Other",0,0
0,134,33.2094,-96.7436,0,0,"TOF","Other",0,0
0,134,40.5367,-81.9558,0,0,"LDG","LOC-G",0,0
0,134,28.8678,-82.5703,0,0,"TOF","LOC-G",0,0
0,134,34.8333,-92.2522,0,0,"TOF","SCF-PP",0,0
1,135,33.8756,-84.3031,0,0,"MNV","Other",1,0
0,135,39.5747,-77.9714,0,0,"ICL","LOC-I",0,0
1,135,31.8408,-97.0742,0,0,"MNV","Other",1,0
0,135,37.2392,-76.7161,0,0,"LDG","LOC-I",0,0
0,135,62.5728,-149.5389,0,0,"LDG","LOC-G",0,0
0,135,31.9761,-80.8544,0,1,"TOF","LOC-G",0,0
0,135,35.7225,-119.2275,0,0,"ENR","FUEL",0,0
0,135,35.3572,-96.9428,0,0,"TXI","Other",0,0
0,135,44.8525,-93.0308,0,0,"LDG","ARC",0,0
1,136,34.2247,-118.1394,0,0,"APR","Other",0,0
0,136,26.7842,-80.6933,0,0,"ICL","LOC-I",0,0
0,136,30.3842,-103.6836,0,0,"ICL","SCF-PP",0,0
0,136,40.2094,-85.8086,0,1,"APR","LOC-I",0,0
0,136,30.7183,-91.4786,0,0,"LDG","LOC-G",0,0
1,137,34.2911,-88.7653,0,0,"TOF","SCF-NP",0,0
0,137,25.4981,-80.5583,0,0,"LDG","LOC-I",0,0
